Code,Name,City,Country
TMU,Tambor,Tambor,COSTA RICA
TMW,Tamworth,Tamworth,AUSTRALIA
TMX,Timimoun,Timimoun,ALGERIA
TMY,Tiom,Tiom,INDONESIA
TMZ,Thames,Thames,NEW ZEALAND
TNA,Jinan,Jinan,CHINA
TNB,Tanah Grogot,Tanah Grogot,INDONESIA
TNC,Tin City AFS,Tin City,UNITED STATES
TND,Trinidad,Trinidad,CUBA
TNE,Tanegashima,Tanegashima,JAPAN
TNF,Toussus-le-Noble,Toussus-Le-Noble,FRANCE
TNG,Boukhalef,Tangier,MOROCCO
TNH,Tonghua Liuhe,Tonghua,CHINA
TNI,Satna,Satna,INDIA
TNJ,Kidjang,Tanjung Pinang,INDONESIA
TNK,Tununak,Tununak,UNITED STATES
TNL,Ternopol,Ternopol,UKRAINE
TNN,Tainan,Tainan,"TAIWAN, REPUBLIC OF CHINA"
TNO,Tamarindo,Tamarindo,COSTA RICA
TNP,Condor Field,Twentynine Palms,UNITED STATES
TNR,Antananarivo,Antananarivo,MADAGASCAR
TNS,Tungsten,Tungsten,CANADA
TNT,Dade Collier,Miami,UNITED STATES
TNU,Newton Municipal Airport,Newton,UNITED STATES
TNX,Stung Treng,Stung Treng,CAMBODIA
TOA,Torrance,Torrance,UNITED STATES
TOB,Tobruk,Tobruk,LIBYAN ARAB JAMAHIRIYA
TOC,Toccoa R G Letourneau Field,Toccoa,UNITED STATES
TOD,Tioman,Tioman,MALAYSIA
TOE,Tozeur,Tozeur,TUNISIA
TOF,Tomsk,Tomsk,RUSSIAN FEDERATION
TOG,Togiak Village,Togiak Village,UNITED STATES
TOH,Torres,Torres,VANUATU
TOI,Troy Municipal Airport,Troy,UNITED STATES
TOJ,Torrejon AFB,Madrid,SPAIN
TOK,Torokina,Torokina,PAPUA NEW GUINEA
TOL,Express,Toledo,UNITED STATES
TOM,Tombouctou,Tombouctou,MALI
TON,Tonu,Tonu,DENMARK
TOO,San Vito,San Vito,COSTA RICA
TOP,Topeka Metropolitan Area,Topeka,UNITED STATES
TOQ,Barriles,Tocopilla,CHILE
TOR,Torrington Municipal Airport,Torrington,UNITED STATES
TOS,Tromso/Langnes,Tromso,NORWAY
TOU,Touho,Touho,NEW CALEDONIA
TOV,Tortola British Virgin Isles,Tortola British Virgin Isles,BARBADOS
TOW,Toledo,Toledo,BRAZIL
TOX,Tobolsk,Tobolsk,RUSSIAN FEDERATION
TOY,Toyama,Toyama,JAPAN
TOZ,Touba,Touba,COTE D'IVOIRE
TPA,Tampa International,Tampa,UNITED STATES
TPC,Tarapoa,Tarapoa,ECUADOR
TPE,Chiang Kai Shek,Taipei,"TAIWAN, REPUBLIC OF CHINA"
TPF,Peter O Knight,Tampa,UNITED STATES
TPG,Taiping,Taiping,MALAYSIA
TPH,Tonopah,Tonopah,UNITED STATES
TPI,Tapini,Tapini,PAPUA NEW GUINEA
TPJ,Taplejung,Taplejung,NEPAL
TPK,Tapaktuan,Tapaktuan,INDONESIA
TPL,Draughon-Miller,Temple,UNITED STATES
TPN,Tiputini,Tiputini,ECUADOR
TPO,Tanalian Point,Tanalian Point,UNITED STATES
TPP,Tarapoto,Tarapoto,PERU
TPQ,Tepic,Tepic,MEXICO
TPR,Tom Price,Tom Price,UNITED STATES
TPS,Birgi,Trapani,ITALY
TPT,Tapeta,Tapeta,LIBERIA
TPU,Tikapur,Tikapur,NEPAL
TQN,Taluqan,Taluqan,AFGHANISTAN
TQS,Tres Esquinas,Tres Esquinas,COLOMBIA
TRA,Tarama,Taramajima,JAPAN
TRB,Gonzalo,Turbo,COLOMBIA
TRC,Torreon,Torreon,MEXICO
TRD,Vaernes,Trondheim,NORWAY
TRE,Tiree,Tiree,UNITED KINGDOM
TRF,Sandefjord,Oslo,NORWAY
TRG,Tauranga,Tauranga,NEW ZEALAND
TRH,Trona,Trona,UNITED STATES
TRI,Tri-Cities Regional,Johnson City,UNITED STATES
TRJ,Tarakbits,Tarakbits,PAPUA NEW GUINEA
TRK,Tarakan,Tarakan,INDONESIA
TRL,Terrell Field,Terrell,UNITED STATES
TRM,Desert Resorts,Palm Springs,UNITED STATES
TRN,Citta Di Torino,Turin,ITALY
TRO,Taree,Taree,AUSTRALIA
TRP,Tree Point,Tree Point,UNITED STATES
TRQ,Tarauaca,Tarauaca,BRAZIL
TRR,China Bay,Trincomalee,SRI LANKA
TRS,Dei Legionari,Trieste,ITALY
TRT,Tremonton Municipal,Tremonton,UNITED STATES
TRU,Trujillo,Trujillo,PERU
TRV,Trivandrum International,Trivandrum,INDIA
TRW,Tarawa,Tarawa,KIRIBATI
TRX,Trenton Municipal,Trenton,UNITED STATES
TRY,Tororo,Tororo,UGANDA
TRZ,Civil,Tiruchirapally,INDIA
TSA,Sung Shan,Taipei,CHINA
TSB,Tsumeb,Tsumeb,NAMIBIA
TSC,Taisha,Taisha,ECUADOR
TSD,Tshipise,Tshipise,SOUTH AFRICA
TSE,Astana,Astana,RUSSIAN FEDERATION
TSF,Treviso,Venice,ITALY
TSG,Tanacross,Tanacross,UNITED STATES
TSH,Tshikapa,Tshikapa,ZAIRE
TSI,Tsili Tsili,Tsili Tsili,PAPUA NEW GUINEA
TSJ,Tsushima,Tsushima,JAPAN
TSK,Taskul,Taskul,PAPUA NEW GUINEA
TSL,Tamuin,Tamuin,MEXICO
TSM,Taos Municipal,Taos,UNITED STATES
TSN,Tianjin,Tianjin,CHINA
TSO,Tresco,Isles Of Scilly,UNITED KINGDOM
TSP,Tehachapi Municipal,Tehachapi,UNITED STATES
TSQ,Torres,Torres,BRAZIL
TSR,Timisoara Int'l Airport,Timisoara,ROMANIA
TSS,East 34th St Heliport,New York,UNITED STATES
TST,Trang,Trang,THAILAND
TSU,Tabiteuea South,Tabiteuea South,KIRIBATI
TSV,Townsville,Townsville,AUSTRALIA
TSW,Tsewi,Tsewi,PAPUA NEW GUINEA
TSX,Tanjung Santan,Tanjung Santan,INDONESIA
TSY,Tasikmalaya,Tasikmalaya,INDONESIA
TSZ,Tsetserleg,Tsetserleg,MONGOLIA
TTA,Tan Tan,Tan Tan,MOROCCO
TTB,Arbatax,Tortoli,ITALY
TTC,Taltal,Taltal,CHILE
TTD,Portland Troutdale,Portland Troutdale,UNITED STATES
TTE,Babullah,Ternate,INDONESIA
TTG,Tartagal,Tartagal,ARGENTINA
TTH,Thumrait,Thumrait,OMAN
TTI,Tetiaroa Is,Tetiaroa Is,FRENCH POLYNESIA
TTJ,Tottori,Tottori,JAPAN
TTK,Tottenham Hale Station,Tottenham Hale Station,UNITED KINGDOM
TTL,Turtle Island,Turtle Island,FIJI
TTM,Tablon De Tamara,Tablon De Tamara,COLOMBIA
TTN,Trenton-Mercer,Philadelphia,MOROCCO
TTO,Britton Municipal Airport,Britton,UNITED STATES
TTQ,Tortuquero,Tortuquero,COSTA RICA
TTR,Tana Toraja,Tana Toraja,INDONESIA
TTS,Tsaratanana,Tsaratanana,MADAGASCAR
TTT,Taitung,Taitung,"TAIWAN, REPUBLIC OF CHINA"
TTU,Sania Ramel,Tetuan,MOROCCO
TU1,Tabuk Airbase,Tabuk Airbase,SAUDI ARABIA
TUA,Tulcan,Tulcan,ECUADOR
TUB,Tubuai,Tubuai,FRENCH POLYNESIA
TUC,Benj Matienzo,Tucuman,ARGENTINA
TUD,Tambacounda,Tambacounda,SENEGAL
TUE,Tupile,Tupile,PANAMA
TUF,St Symphorien,Tours,FRANCE
TUG,Tuguegarao,Tuguegarao,PHILIPPINES
TUH,Arnold AFS,Tullahoma,UNITED STATES
TUI,Turaif,Turaif,SAUDI ARABIA
TUJ,Tum,Tum,ETHIOPIA
TUK,Turbat,Turbat,PAKISTAN
TUL,Tulsa International,Tulsa,UNITED STATES
TUM,Tumut,Tumut,AUSTRALIA
TUN,Carthage,Tunis,TUNISIA
TUO,Taupo,Taupo,NEW ZEALAND
TUP,Lemons Municipal,Tupelo,UNITED STATES
TUQ,Tougan,Tougan,BURKINA FASO
TUR,Tucurui,Tucurui,BRAZIL
TUS,Tucson International,Tucson,UNITED STATES
TUT,Tauta,Tauta,PAPUA NEW GUINEA
TUU,Tabuk,Tabuk,SAUDI ARABIA
TUV,Tucupita,Tucupita,VENEZUELA
TUW,Tubala,Tubala,PANAMA
TUX,Tumbler Ridge,Tumbler Ridge,CANADA
TUY,Tulum,Tulum,MEXICO
TUZ,Tucuma,Tucuma,BRAZIL
TVA,Morafenobe,Morafenobe,MADAGASCAR
TVC,Traverse City,Traverse City,UNITED STATES
TVF,Thief River Falls Regional,Thief River Falls,UNITED STATES
TVI,Thomasville Municipal Airport,Thomasville,UNITED STATES
TVL,South Lake Tahoe,South Lake Tahoe,UNITED STATES
TVU,Matei,Taveuni,FIJI
TVY,Dawe,Dawe,MYANMAR
TWA,Twin Hills,Twin Hills,UNITED STATES
TWB,Toowoomba,Toowoomba,AUSTRALIA
TWD,Jefferson County International,Port Townsend,UNITED STATES
TWE,Taylor,Taylor,UNITED STATES
TWF,City County,Twin Falls,UNITED STATES
TWH,Two Harbors Amphibious Terminal,Avalon,UNITED STATES
TWN,Tewantin,Tewantin,AUSTRALIA
TWP,Torwood,Torwood,AUSTRALIA
TWT,Tawitawi,Tawitawi,PHILIPPINES
TWU,Tawau,Tawau,MALAYSIA
TWY,Tawa,Tawa,PAPUA NEW GUINEA
TWZ,Pukaki/Twizel,Mount Cook,NEW ZEALAND
TX1,Finow Eberswalde,Finow Eberswalde,GERMANY
TXF,Teixeira de Freitas,Teixeira de Freitas,BRAZIL
TXG,Taichung,Taichung,"TAIWAN, REPUBLIC OF CHINA"
TXK,Texarkana Municipal,Texarkana,UNITED STATES
TXL,Berlin-Tegel,Berlin,GERMANY
TXM,Teminabuan,Teminabuan,INDONESIA
TXN,Tunxi,Tunxi,CHINA
TXR,Tanbar,Tanbar,AUSTRALIA
TXU,Tabou,Tabou,COTE D'IVOIRE
TYA,Tula,Tula,RUSSIAN FEDERATION
TYB,Tibooburra,Tibooburra,AUSTRALIA
TYD,Tynda,Tynda,RUSSIAN FEDERATION
TYE,Tyonek,Tyonek,UNITED STATES
TYF,Torsby Airport,Torsby,SWEDEN
TYG,Thylungra,Thylungra,AUSTRALIA
TYL,Talara,Talara,PERU
TYM,Staniel Cay,Staniel Cay,BAHAMAS
TYN,Taiyuan,Taiyuan,CHINA
TYO,Tokyo Metropolitan Area,Tokyo,JAPAN
TYP,Tobermorey,Tobermorey,AUSTRALIA
TYR,Pounds Field,Tyler,UNITED STATES
TYS,Mc Ghee Tyson,Knoxville,UNITED STATES
TYT,Treinta-y-Tres,Treinta-y-Tres,URUGUAY
TYZ,Taylor Municipal,Taylor,UNITED STATES
TZL,Tuzla,Tuzla,BOSNIA AND HERZEGOVINA
TZM,Tizimin,Tizimin,MEXICO
TZN,South Andros,South Andros,BAHAMAS
TZR,Columbus Bolton Field,Columbus,UNITED STATES
TZX,Trabzon,Trabzon,TURKEY
U11,Rexburg-Madison County,Rexburg,UNITED STATES
U12,Stanford Field,Saint Anthony,UNITED STATES
U34,Green River Municipal,Green River,UNITED STATES
U59,Teton Peaks Centennial,Driggs,UNITED STATES
UAC,San Luis Rio Colorado,San Luis Rio Colorado,MEXICO
UAE,Mount Aue,Mount Aue,PAPUA NEW GUINEA
UAH,Ua Huka,Ua Huka,FRENCH POLYNESIA
UAI,Suai,Suai,INDONESIA
UAK,Narsarsuaq,Narsarsuaq,GREENLAND
UAL,Luau,Luau,ANGOLA
UAM,Anderson AFB,Guam,UNITED STATES
UAO,Aurora,Aurora,UNITED STATES
UAP,Ua Pou,Ua Pou,FRENCH POLYNESIA
UAQ,San Juan,San Juan,ARGENTINA
UAS,Samburu,Samburu,KENYA
UAX,Uaxactun,Uaxactun,GUATEMALA
UBA,Uberaba,Uberaba,BRAZIL
UBB,Mabuiag Island,Mabuiag Island,AUSTRALIA
UBI,Buin,Buin,PAPUA NEW GUINEA
UBJ,Ube,Ube,JAPAN
UBP,Muang Ubon,Ubon Ratchathani,THAILAND
UBR,Ubrub,Ubrub,INDONESIA
UBS,Columbus-Lowndes County,Columbus,UNITED STATES
UBT,Ubatuba,Ubatuba,BRAZIL
UBU,Kalumburu,Kalumburu,AUSTRALIA
UCA,Oneida County,Utica,UNITED STATES
UCC,Yucca Flats,Yucca Flats,UNITED STATES
UCE,Eunice,Eunice,UNITED STATES
UCK,Lutsk,Lutsk,UKRAINE
UCN,Buchanan,Buchanan,LIBERIA
UCP,New Castle Municipal Airport,New Castle,UNITED STATES
UCT,Ukhta,Ukhta,RUSSIAN FEDERATION
UCY,Everett-Stewart Airport,Union City,UNITED STATES
UDA,Undarra,Undarra,AUSTRALIA
UDD,Bermuda Dunes,Palm Springs,UNITED STATES
UDE,Volkel,Uden,NETHERLANDS
UDI,Eduardo Gomes,Uberlandia,BRAZIL
UDJ,Uzhgorod,Uzhgorod,RUSSIAN FEDERATION
UDN,Airfield,Udine,ITALY
UDO,Udomxay,Udomxay,LAO PEOPLE'S DEMOCRATIC REPUBLIC
UDR,Dabok,Udaipur,INDIA
UEE,Queenstown,Queenstown,AUSTRALIA
UEL,Quelimane,Quelimane,MOZAMBIQUE
UEO,Kumejima,Kumejima,JAPAN
UES,Waukesha County,Waukesha,UNITED STATES
UET,Quetta,Quetta,PAKISTAN
UFA,Ufa,Ufa,RUSSIAN FEDERATION
UGA,Bulgan,Bulgan,MONGOLIA
UGB,Ugashik Bay,Pilot Point,UNITED STATES
UGC,Urgench,Urgench,RUSSIAN FEDERATION
UGI,Uganik,Uganik,UNITED STATES
UGN,Waukegan Regional,Waukegan,UNITED STATES
UGO,Uige,Uige,ANGOLA
UGS,Ugashik,Ugashik,UNITED STATES
UGU,Zugapa,Zugapa,INDONESIA
UHE,Uherske Hradiste,Uherske Hradiste,CZECH REPUBLIC
UHF,RAF Station,Upper Heyford,UNITED KINGDOM
UIB,Quibdo,Quibdo,COLOMBIA
UIH,Qui Nhon,Qui Nhon,VIET NAM
UII,Utila,Utila,HONDURAS
UIK,Ust-Ilimsk,Ust-Ilimsk,RUSSIAN FEDERATION
UIL,Quillayute State,Quillayute,UNITED STATES
UIN,Quincy M Baldwin Field,Quincy,UNITED STATES
UIO,Mariscal Sucr,Quito,ECUADOR
UIP,Pluguffan,Quimper,FRANCE
UIR,Quirindi,Quirindi,AUSTRALIA
UIT,Jaluit Island,Jaluit Island,MARSHALL ISLANDS
UIZ,Berz-Macomb,Utica,UNITED STATES
UJE,Ujae Island,Ujae Island,MARSHALL ISLANDS
UKA,Ukunda,Ukunda,KENYA
UKB,Kobe,Kobe,JAPAN
UKI,Ukiah Regional Airport,Ukiah,UNITED STATES
UKK,Ust-Kamenogorsk,Ust-Kamenogorsk,RUSSIAN FEDERATION
UKN,Waukon Municipal Airport,Waukon,UNITED STATES
UKR,Mukeiras,Mukeiras,YEMEN
UKT,Quakertown,Quakertown,UNITED STATES
UKU,Nuku,Nuku,PAPUA NEW GUINEA
UKX,Ust-Kut,Ust-Kut,RUSSIAN FEDERATION
UKY,Kyoto,Kyoto,JAPAN
ULA,San Julian,San Julian,ARGENTINA
ULB,Ulei,Ulei,VANUATU
ULC,Los Cerrillos,Santiago,CHILE
ULD,Ulundi,Ulundi,SOUTH AFRICA
ULE,Sule,Sule,PAPUA NEW GUINEA
ULG,Ulgit,Ulgit,MONGOLIA
ULL,Mull,Mull,UNITED KINGDOM
ULM,New Ulm,New Ulm,UNITED STATES
ULN,Buyant Uhaa,Ulaanbaatar,MONGOLIA
ULO,Ulaangom,Ulaangom,MONGOLIA
ULP,Quilpie,Quilpie,AUSTRALIA
ULQ,Farfan,Tulua,COLOMBIA
ULS,Mulatos,Mulatos,COLOMBIA
ULU,Gulu,Gulu,UGANDA
ULX,Ulusaba,Ulusaba,SOUTH AFRICA
ULY,Ulyanovsk,Ulyanovsk,RUSSIAN FEDERATION
ULZ,Uliastai,Uliastai,MONGOLIA
UMA,Punta De Maisi,Punta De Maisi,CUBA
UMB,Umnak,Umnak Island,UNITED STATES
UMC,Umba,Umba,PAPUA NEW GUINEA
UMD,Uummannaq,Uummannaq,GREENLAND
UME,Umea,Umea,SWEDEN
UMI,Quincemil,Quincemil,PERU
UMM,Summit,Summit,UNITED STATES
UMR,Woomera,Woomera,AUSTRALIA
UMT,Umiat,Umiat,UNITED STATES
UMU,Ernesto Geisel,Umuarama,BRAZIL
UMY,Sumy,Sumy,UKRAINE
UNC,Unguia,Unguia,COLOMBIA
UND,Kunduz,Kunduz,AFGHANISTAN
UNE,Qachas Nek,Qachas Nek,LESOTHO
UNG,Kiunga,Kiunga,PAPUA NEW GUINEA
UNI,Union Island,Union Island,SAINT VINCENT AND THE GRENADINES
UNK,Unalakleet,Unalakleet,UNITED STATES
UNN,Ranong,Ranong,THAILAND
UNO,West Plains Municipal,West Plains,UNITED STATES
UNR,Underkhaan,Underkhaan,MONGOLIA
UNS,Umnak Island,Umnak Island,UNITED STATES
UNT,Baltasound,Unst Shetland Is,UNITED KINGDOM
UNU,Dodge County Airport,Juneau,UNITED STATES
UNV,"State College, PA",State College,UNITED STATES
UOL,Buol,Buol,INDONESIA
UON,Muong Sai,Muong Sai,LAO PEOPLE'S DEMOCRATIC REPUBLIC
UOS,Franklin County,Sewanee,UNITED STATES
UOX,University Oxford Airport,Oxford,UNITED STATES
UPA,Punta Alegre,Punta Alegre,CUBA
UPC,Puerto La Cruz,Puerto La Cruz,SPAIN
UPF,Pforheim,Pforheim,GERMANY
UPG,Hasanudin,Ujung Pandang,INDONESIA
UPI,Upington,Upington,SOUTH AFRICA
UPL,Upala,Upala,COSTA RICA
UPN,Uruapan,Uruapan,MEXICO
UPP,Hawi Upolu Airport,Upolu Point,UNITED STATES
UPR,Upiara,Upiara,PAPUA NEW GUINEA
UPV,Upavon,Upavon,UNITED KINGDOM
UQE,The Queens,Queens,UNITED STATES
URA,Uralsk,Uralsk,KAZAKHSTAN
URB,Ernesto Pochler,Urubupunga,BRAZIL
URC,Urumqi,Urumqi,CHINA
URD,Burg Feuerstein,Burg Feuerstein,GERMANY
URE,Kuressaare,Kuressaare,ESTONIA
URG,Ruben Berta,Uruguaiana,BRAZIL
URI,Uribe,Uribe,COLOMBIA
URJ,Uraj,Uraj,RUSSIAN FEDERATION
URM,Uriman,Uriman,VENEZUELA
URN,Urgoon,Urgoon,AFGHANISTAN
URO,Boos,Rouen,FRANCE
URR,Urrao,Urrao,COLOMBIA
URS,Kursk,Kursk,RUSSIAN FEDERATION
URT,Surat Thani,Surat Thani,THAILAND
URU,Uroubi,Uroubi,PAPUA NEW GUINEA
URY,Gurayat,Gurayat,SAUDI ARABIA
URZ,Uruzgan,Uruzgan,AFGHANISTAN
USC,Union South Carolina Off-line Point,Union South Carolina,UNITED STATES
USH,Islas Malvinas,Ushuaia,ARGENTINA
USI,Mabaruma,Mabaruma,GUYANA
USK,Usinsk,Usinsk,RUSSIAN FEDERATION
USL,Useless Loop,Useless Loop,AUSTRALIA
USM,Koh Samui,Koh Samui,THAILAND
USN,Ulsan,Ulsan,"KOREA, REPUBLIC OF"
USO,Usino,Usino,PAPUA NEW GUINEA
USQ,Usak,Usak,TURKEY
USS,Sancti Spiritus,Sancti Spiritus,CUBA
UST,St. Augustine,St. Augustine,UNITED STATES
USU,Busuanga,Busuanga,PHILIPPINES
UTA,Mutare,Mutare,ZIMBABWE
UTB,Muttaburra,Muttaburra,AUSTRALIA
UTC,Soesterberg,Utrecht,NETHERLANDS
UTD,Nutwood Downs,Nutwood Downs,AUSTRALIA
UTE,Butterworth,Butterworth,SOUTH AFRICA
UTG,Quthing,Quthing,LESOTHO
UTH,Udon Thani,Udon Thani,THAILAND
UTI,Utti,Kouvola,FINLAND
UTK,Utirik Island,Utirik Island,MARSHALL ISLANDS
UTL,Torremolinos,Torremolinos,SPAIN
UTN,Upington Municipal,Upington,SOUTH AFRICA
UTO,Indian Mountain AFS,Utopia Creek,UNITED STATES
UTP,Utapao,Utapao,THAILAND
UTR,Uttaradit,Uttaradit,THAILAND
UTT,Umtata,Umtata,SOUTH AFRICA
UTU,Ustupo,Ustupo,PANAMA
UTW,Queenstown,Queenstown,SOUTH AFRICA
UUA,Bugulma,Bugulma,RUSSIAN FEDERATION
UUD,Ulan-Ude,Ulan-Ude,RUSSIAN FEDERATION
UUK,Ugnu-Kuparuk,Kuparuk,UNITED STATES
UUN,Baruun-Urt,Baruun-Urt,MONGOLIA
